lexeme_id	paradigm_id	scope	placement	mark	breathing	evidence_id	source_id	citation	source_recension	target_recension
synodal:adjective:mudr	synodal-accent:mudr-fixed-stem	adjective:long:positive:singular	stem-vowel-from-start:0	acute		alypy-57-mudryi	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §57, мꙋ́дръ adjective paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-a0a33dfa77c7	synodal-accent:mati-fixed-stem	noun:singular,dual,plural	stem-vowel-from-start:0	acute		alypy-43-mati-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete ма́ти paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:singular:nominative,genitive,dative,accusative,instrumental,locative,vocative	stem-vowel-from-start:0	acute	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:dual:nominative,accusative,vocative	stem-vowel-from-start:0	acute	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:dual:genitive,locative	ending-vowel-from-end:0	grave	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:dual:dative,instrumental	ending-vowel-from-end:1	acute	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:plural:nominative,accusative,vocative	ending-vowel-from-end:0	grave	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:plural:genitive	stem-vowel-from-start:1	acute	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:plural:dative,locative	stem-vowel-from-start:0	acute	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-551a03f1df94	synodal-accent:imya-mobile	noun:plural:instrumental	ending-vowel-from-end:0	grave	psili@stem-vowel-from-start:0	alypy-43-imya-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete и҆́мѧ paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:singular:nominative,accusative,vocative	stem-vowel-from-start:0	acute		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:singular:genitive,dative,locative	ending-vowel-from-end:0	grave		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:singular:instrumental	ending-vowel-from-end:0	acute		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:dual:nominative,genitive,accusative,locative,vocative	ending-vowel-from-end:0	grave		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:dual:dative,instrumental	ending-vowel-from-end:1	acute		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:plural:nominative,accusative,instrumental,vocative	ending-vowel-from-end:0	grave		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:plural:genitive	stem-vowel-from-start:1	acute		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
synodal:noun:wikt-7790891c2704	synodal-accent:nebo-mobile	noun:plural:dative,locative	ending-vowel-from-end:0	acute		alypy-43-nebo-table	alypy-gamanovich-grammar-web-2023	Alypy (Gamanovich), §43, complete не́бо paradigm	synodal-russian	synodal-russian
