category	subtype	rule_id	target_recension	status	valid_cells	invalid_cells	required_metadata	alternations	accent_contract	source	citation	golden	boundary	implementation	test	failure
noun	first-hard-masculine	SYN-NOUN-I-HARD-M-ALYPY-34	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; stem; masculine; class	animacy variants in accusative	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–38	рабъ	incompatible gender	core/morphology.rs	declines_first_hard_noun_from_alypy_34	ContradictoryMetadata
noun	first-hard-u-stem-masculine	SYN-NOUN-I-U-STEM-M-ALYPY-37-38	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/citation-shape contradictions	lemma in -ъ; stem; masculine; class	ordered -ꙋ, -ови, -ове, -ов-, and -ми alternatives	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§37–38	сынъ / домъ	bounded historical u-stem alternatives	core/morphology.rs	alpy_37_38_complete_u_stem_background_is_bounded	ContradictoryMetadata
noun	first-hard-in-ethnonym-masculine	SYN-NOUN-I-HARD-M-IN-ETHNONYM-ALYPY-37	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-инъ-shape contradictions	lemma and stem in -инъ/-ин-; masculine; class	plural drops -ин-; nominative/vocative plural -е	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§37	галїлеанинъ → галїлеане	unsafe suffix inference outside the typed class	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	first-hard-ud-es-masculine	SYN-NOUN-I-M-UD-ES-ALYPY-44	synodal-russian	productive	7 cases × singular/dual/plural	wrong lexeme/stem/gender	citation ꙋдъ; independent ꙋдес- stem; masculine; class	ordinary first-declension forms followed by bounded fourth-declension -ес- analogues	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§44	ꙋдъ / ꙋдесы	no arbitrary short/extended stem cross-product	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	first-hard-velar-masculine	SYN-NOUN-I-HARD-VELAR-M-ALYPY-34	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; final-velar stem; masculine; class	г/к/х → з/ц/с before reviewed и/ѣ cells; г/к/х → ж/ч/ш in vocative singular	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–35	дꙋхъ / ѻтрокъ / богъ	all three velars at locative/vocative/nominative-plural seams	core/morphology.rs	alpy_34_velar_alternations_cover_g_k_and_h_boundaries	ContradictoryMetadata
noun	first-mixed-masculine	SYN-NOUN-I-MIXED-M-ALYPY-33-34	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; sibilant stem; masculine; class	mixed endings; ordered -и/-їе nominative; sourced -еви, -ѣ, -(ь)ми, and -ами alternatives	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§33–38	мꙋжъ	complete paradigm and exact-first/productive-background seam	core/morphology.rs; facade/resolver.rs	alpy_34_complete_mixed_masculine_golden; upgraded_mixed_noun_is_exact_first_with_a_productive_background	ContradictoryMetadata
noun	first-hard-neuter	SYN-NOUN-I-HARD-N-ALYPY-34	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; stem; neuter; class	none	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–38	слово	incompatible gender	core/morphology.rs	productive_rule_inventory_contracts_are_complete	ContradictoryMetadata
noun	first-soft-masculine	SYN-NOUN-I-SOFT-M-ALYPY-34	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; stem; masculine; class	animacy variants in accusative	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–38	царь	incompatible gender	core/morphology.rs	productive_rule_inventory_contracts_are_complete	ContradictoryMetadata
noun	first-soft-agent-tel-masculine	SYN-NOUN-I-SOFT-M-TEL-AGENT-ALYPY-37	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-тель-shape contradictions	lemma in -тель; stem in -тел-; masculine; class	ordinary soft paradigm plus nominative/vocative plural -е and -їе	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§37	свидѣтель → свидѣтеле / свидѣтелїе	non-agent soft nouns use the general class	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	first-soft-lord-masculine	SYN-NOUN-I-SOFT-M-LORD-ALYPY-35-41	synodal-russian	productive	7 cases × singular/dual/plural	wrong lexeme/stem/gender	citation господь; stem господ-; masculine; class	hard singular obliques; господи vocative; i-stem dual/plural; -ꙋ/-еви and genitive variants	exact cell or reusable complete accent metadata required for liturgical	Alypy Gamanovich grammar	§§35, 38, 41	господь → господа / господїе	obsolete OCS-to-Synodal господи cell transfers are explicitly retracted	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	first-soft-j-masculine	SYN-NOUN-I-SOFT-J-M-ALYPY-34-37	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-й-shape contradictions	lemma in -й; independently supplied j-stem; masculine; class	citation -й; wide-letter plural spelling; vocative -ю or -е by stem seam	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–37	край / кормчїй	-ey nouns use their distinct class	core/morphology.rs; facade/lib.rs	alpy_34_37_j_ey_and_ie_stem_goldens; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	first-soft-ey-masculine	SYN-NOUN-I-SOFT-EY-M-ALYPY-34-37	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-ей-shape contradictions	lemma in -ей; stem in -е; masculine; class	genitive singular -а; vocative -ю/-е; wide-letter dual/plural; -ови and -ѡмъ variants	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–37	їерей	ordinary -й nouns use the j-stem class	core/morphology.rs; facade/lib.rs	alpy_34_37_j_ey_and_ie_stem_goldens; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	first-soft-neuter	SYN-NOUN-I-SOFT-N-ALYPY-34	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; stem; neuter; class	none	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–38	море	incompatible gender	core/morphology.rs	productive_rule_inventory_contracts_are_complete	ContradictoryMetadata
noun	first-soft-ishche-neuter	SYN-NOUN-I-SOFT-N-ISHCHE-ALYPY-37	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-ище-shape contradictions	lemma in -ище; stem in -ищ-; neuter; class	locative plural ordered -ахъ/-ихъ/-ехъ; productive instrumental alternatives	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§37	соборище → соборищахъ / соборищихъ / соборищехъ	other soft neuters retain their ordinary locative	core/morphology.rs; facade/lib.rs	alpy_37_44_remaining_productive_noun_profiles_are_bounded; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
noun	first-soft-ie-neuter	SYN-NOUN-I-SOFT-IE-N-ALYPY-34-37	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/-їе-shape contradictions	lemma in -їе; independent -ї- stem; neuter; class	wide є in dual/plural; genitive plural -й; instrumental plural -и/-(ь)ми/-ми	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§34–37	знаменїе	ordinary soft neuters use the море profile	core/morphology.rs	alpy_34_37_j_ey_and_ie_stem_goldens	ContradictoryMetadata
noun	second-hard	SYN-NOUN-II-HARD-ALYPY-39	synodal-russian	productive	7 cases × singular/dual/plural	class/gender contradictions	lemma; stem; masculine or feminine; class	animacy variants in accusative	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§39–40	жена / воевода	neuter is rejected	core/morphology.rs	rejects_second_declension_with_neuter_gender; typed_specs_reject_contradictory_formation_metadata	ContradictoryMetadata
noun	second-hard-velar	SYN-NOUN-II-HARD-VELAR-ALYPY-39-40	synodal-russian	productive	7 cases × singular/dual/plural	class/gender/final-velar contradictions	lemma in -а; final-velar stem; masculine or feminine; class	second palatalization before singular/dual ѣ cells; plural spelling boundary	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§39–40	рꙋка → рꙋцѣ	wrong stem final	core/morphology.rs; facade/lib.rs	alpy_39_40_velar_and_mixed_second_declension_goldens; alpy_37_44_remaining_named_noun_families_route_through_the_facade	ContradictoryMetadata
