contract_id	lexeme_id	cell	expected_variants	expected_error	expected_source	normative_source	normative_citation
v10:noun:otrocha-oblique	synodal:noun:otrocha	noun:genitive:singular:inanimate	ѻтрочате		productive	alypy-gamanovich-grammar-web-2023	§§42–43 complete ѻтроча table
v10:noun:svekry-ordered-animate	synodal:noun:svekry	noun:accusative:plural:animate	свекровей|свекрови		productive	alypy-gamanovich-grammar-web-2023	§§42–44 complete свекры table
v10:noun:kamen-ordinary-plural	synodal:noun:v07-c27905de175a0cde	noun:nominative:plural:inanimate	камєни|каменїѧ		productive	alypy-gamanovich-grammar-web-2023	§43 ordinary plural distinct from collective каменїе
v10:noun:people-number-restriction	synodal:noun:people	noun:genitive:singular:animate		HistoricallyInvalidCell	error	alypy-gamanovich-grammar-web-2023	§§32 and 41 plural-only людїе
v10:verb:nesti-present-edge	synodal:verb:nesti	present:first:singular	несꙋ		productive	alypy-gamanovich-grammar-web-2023	§§79–82 independent first-singular edge
v10:verb:pisati-palatalized-edge	synodal:verb:pisati	present:first:singular	пишꙋ		productive	alypy-gamanovich-grammar-web-2023	§§79–83 independently reviewed palatalized edge
v10:verb:lyubiti-second-edge	synodal:verb:lyubiti	present:first:singular	люблю		productive	alypy-gamanovich-grammar-web-2023	§§79–83 independently reviewed second-conjugation edge
v10:verb:lyubiti-exact-first	synodal:verb:lyubiti	present:third:singular	любитъ		attested	alypy-gamanovich-grammar-web-2023	§82 plus exact Synodal witness
v10:verb:byti-irregular-first	synodal:verb:byti	present:first:singular	єсмь		irregular	alypy-gamanovich-grammar-web-2023	§81 exact irregular table
v10:verb:nesti-unsupported-future	synodal:verb:nesti	future:third:singular		EvidenceIncompleteCell	error	alypy-gamanovich-grammar-web-2023	§84 contextual future reading cannot be inferred for imperfective нести
v11:verb:nesti-verbal-noun	synodal:verb:nesti	verbal-noun:genitive:singular:inanimate	несенїѧ		productive	alypy-gamanovich-grammar-web-2023	§27 past-passive base plus -їе; §34 soft-neuter declension
v10:verb:pisati-missing-participle	synodal:verb:pisati	participle:present:passive:nominative:singular:masculine:inanimate:short:positive		MissingPrincipalPart	error	alypy-gamanovich-grammar-web-2023	§99 relationship not promoted without stored participial principal part
v12:verb:boyatisya-j-imperative	synodal:verb:v12-boyatisya	imperative:second:singular	бойсѧ		productive	alypy-gamanovich-grammar-web-2023	§93 j-stem imperative бо́-й-сѧ
v12:verb:boyatisya-jer-deletion	synodal:verb:v12-boyatisya	present:third:singular	боитсѧ		productive	alypy-gamanovich-grammar-web-2023	§73 reflexive enclitic after the third-singular ending; the final jer is deleted
v12:verb:boyatisya-no-aorist	synodal:verb:v12-boyatisya	aorist:third:singular		MissingMetadata	error	alypy-gamanovich-grammar-web-2023	§73 verb used only with -сѧ; no aorist principal part is claimed
v12:verb:uboyatisya-vowel-aorist	synodal:verb:v12-uboyatisya	aorist:third:plural	оубоѧшасѧ		productive	alypy-gamanovich-grammar-web-2023	§86 vowel aorist with the §73 enclitic
v12:verb:umreti-consonant-aorist	synodal:verb:v12-umreti	aorist:third:plural	оумроша		productive	alypy-gamanovich-grammar-web-2023	§86 consonant aorist -оша on the stem оумр-
v12:verb:umreti-mobile-l-participle	synodal:verb:v12-umreti	l-participle:masculine:plural	оумерли		productive	alypy-gamanovich-grammar-web-2023	§97 l-participle on the independent base оумер-
v12:verb:umreti-no-imperfect	synodal:verb:v12-umreti	imperfect:third:singular		HistoricallyInvalidCell	error	alypy-gamanovich-grammar-web-2023	perfective verb without an imperfect principal part fails explicitly
